Term,Filename,Freq,Group,Title,Year,Album,GroupDir,LyricsPath,bccwj_rank
no,old_19_tummy.txt,3,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
not,old_19_tummy.txt,4,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
nothing,old_12_25ko.txt,1,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
nothing,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
now,old_19_tummy.txt,3,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
oath,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
of,old_19_tummy.txt,12,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
one,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
or,old_19_tummy.txt,3,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
our,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
party,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
re,old_12_25ko.txt,1,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
re,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
re,old_19_tummy.txt,5,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
really,old_12_25ko.txt,1,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
really,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
reason,old_19_tummy.txt,3,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
rest,old_19_tummy.txt,3,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
s,old_14_yumebanchi.txt,2,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
s,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
say,old_12_25ko.txt,1,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
say,old_19_tummy.txt,7,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
second,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
see,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
she,old_04_memeshe.txt,1,Old,me me she,2006,RADWIMPS 4,old,lyrics/old/old_04_memeshe.txt,NA
smile,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
so,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
some,old_19_tummy.txt,2,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
strong,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
such,old_19_tummy.txt,6,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
t,old_19_tummy.txt,5,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
take,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
talking,old_19_tummy.txt,3,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
tell,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
that,old_12_25ko.txt,1,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
that,old_19_tummy.txt,4,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
